Processes: 348 total, 2 running, 346 sleeping, 2010 threads                                                                                          20:46:53
Load Avg: 1.35, 1.52, 1.58  CPU usage: 0.89% user, 2.69% sys, 96.40% idle  SharedLibs: 184M resident, 49M data, 19M linkedit.
MemRegions: 94380 total, 3280M resident, 113M private, 637M shared. PhysMem: 8116M used (1887M wired), 75M unused.
VM: 1586G vsize, 1097M framework vsize, 26158258(0) swapins, 27712083(0) swapouts.  Networks: packets: 39321712/46G in, 27506090/2522M out.
Disks: 9369115/238G read, 11214884/265G written.

PID    COMMAND      %CPU TIME     #TH   #WQ  #PORT MEM    PURG   CMPRS  PGRP  PPID  STATE    BOOSTS           %CPU_ME %CPU_OTHRS UID  FAULTS    COW
87501  assistantd   0.0  00:15.48 3     1    204   3104K  0B     8320K  87501 1     sleeping  0[1724]         0.00000 0.00000    501  109802    843
84742  com.apple.ac 0.0  00:01.74 2     2    32    560K   0B     416K   84742 1     sleeping  0[4494]         0.00000 0.00000    501  10624     129
84686  ContextServi 0.0  00:04.14 2     2    44    4744K  0B     3492K  84686 1     sleeping  0[158]          0.00000 0.00000    501  37522     727
84524  KeychainSync 0.0  00:00.45 2     1    64    436K   0B     1196K  84524 1     sleeping  0[393]          0.00000 0.00000    501  11293     178
84410  AppleIDAuthA 0.0  00:12.29 6     3    99    1316K  0B     5604K  84410 1     sleeping  0[295]          0.00000 0.00000    501  75118     232
84400  ctkahp       0.0  00:00.21 2     1    39    540K   0B     1832K  84400 1     sleeping  0[784]          0.00000 0.00000    501  6954      163
84399  ctkahp       0.0  00:00.38 2     1    30    556K   0B     1788K  84399 1     sleeping  0[778]          0.00000 0.00000    0    9089      155
84398  coreauthd    0.0  00:01.10 2     1    29    464K   0B     1044K  84398 1     sleeping  0[961]          0.00000 0.00000    0    14252     178
84303  AppleSpell   0.0  00:18.13 2     1    141   26M    1204K  6824K  84303 1     sleeping *0[1]            0.00000 0.00000    501  99477     503
84265  amfid        0.0  00:01.57 2     2    40    2324K  0B     972K   84265 1     sleeping *0[1]            0.00000 0.00000    0    14632     176
84209  sysmond      0.0  00:26.50 2     2    19    88K    0B     2456K  84209 1     sleeping  0[11]           0.00000 0.00000    0    21519     132
84194  dprivacyd    0.0  00:00.90 2     2    71    784K   0B     2212K  84194 1     sleeping  0[1357]         0.00000 0.00000    0    13165     164
84192  mobileassetd 0.0  00:03.77 2     1    64    6860K  0B     3536K  84192 1     sleeping  0[1212]         0.00000 0.00000    0    42034     263
84190  timed        0.0  00:04.28 2     1    45    1256K  0B     520K   84190 1     sleeping *0[1]            0.00000 0.00000    266  12663     162
84189  suggestd     0.0  00:30.90 2     1    223   7560K  216K   6472K  84189 1     sleeping *36[187]         0.00000 0.00000    501  146811    465
84167  soagent      0.0  00:01.32 2     1    112   516K   0B     6568K  84167 1     sleeping  0[404]          0.00000 0.00000    501  34844     473
71793  nsurlstorage 0.0  00:07.12 2     1    37    1008K  0B     860K   71793 1     sleeping  0[101]          0.00000 0.00000    243  47019     149
71787  ScopedBookma 0.0  00:06.83 2     2    53    2652K  0B     1392K  71787 1     sleeping  0[2486]         0.00000 0.00000    501  30580     188
71687  com.apple.hi 0.0  00:07.96 2     2    49    780K   0B     372K   71687 1     sleeping  0[16107]        0.00000 0.00000    501  19160     140
71681  knowledge-ag 0.0  00:42.27 3     2    81    7908K  1976K  2396K  71681 1     sleeping  0[291]          0.00000 0.00000    501  154773    263
71677  OSDUIHelper  0.0  00:30.81 3     1    153   3648K  0B     4660K  71677 1     sleeping *0[4414]         0.00000 0.00000    501  62775     383
71672  WirelessRadi 0.0  00:06.86 2     1    54    964K   0B     1116K  71672 1     sleeping *0[1]            0.00000 0.00000    0    39375     214
71667  adid         0.0  00:05.24 2     1    32    2648K  0B     604K   71667 1     sleeping  0[3584]         0.00000 0.00000    265  32147     151
71666  akd          0.0  00:21.04 4     2    113   3624K  0B     6616K  71666 1     sleeping  0[3848]         0.00000 0.00000    501  230015    246
71665  ContactsAcco 0.0  00:04.14 2     1    73    1204K  0B     612K   71665 1     sleeping  0[247]          0.00000 0.00000    501  42486     165
71664  tccd         0.0  00:05.68 2     1    56    3852K  12K    2680K  71664 1     sleeping  0[970]          0.00000 0.00000    501  48094     207
59093  QuickLookUIS 0.0  00:19.62 4     1    136   1876K  0B     2212K  59093 1     sleeping *0[7005]         0.00000 0.00000    501  42296     327
58822  softwareupda 0.0  00:00.35 2     1    61    224K   0B     2880K  58822 1     sleeping  0[0]            0.00000 0.00000    200  14935     196
51635  mediaremotea 0.0  00:13.52 2     1    34    608K   0B     796K   51635 1     sleeping  0[4524]         0.00000 0.00000    501  35680     156
51631  callservices 0.0  00:08.07 2     1    502   1608K  0B     6028K  51631 1     sleeping  0[1352]         0.00000 0.00000    501  109992    499
51546  spindump     0.0  00:22.50 3     2    100   572K   0B     5164K  51546 1     sleeping *0[1]            0.00000 0.00000    0    1615517   214
50018  ACCFinderSyn 0.0  00:26.54 4     1    151   2200K  0B     3264K  50018 1     sleeping *0[5101]         0.00000 0.00000    501  58684     687
50015  com.apple.ap 0.0  02:38.34 5     2    329   14M    0B     18M    50015 1     sleeping *16811[4]        0.00000 0.00000    501  925196    588
41972  syspolicyd   0.0  00:42.42 2     1    62    4300K  12K    4196K  41972 1     sleeping  0[2737]         0.00000 0.00000    0    117775    212
40427  CoreServices 0.0  00:41.64 4     2    649   4988K  0B     5092K  40427 1     sleeping *0[1]            0.00000 0.00340    501  130339    306
30100  rtcreporting 0.0  00:22.47 2     1    45-   500K-  0B     4040K  30100 1     sleeping *0[1]            0.00000 0.00000    0    134588    201
29681  keyboardserv 0.0  00:27.12 3     2    70    564K   0B     6272K  29681 1     sleeping  0[45]           0.00000 0.00000    501  224573    219
